metric,config_a,config_b,mean_a,mean_b,wilcoxon_stat,raw_p,effect_size,effect_magnitude,holm_p,significant_0.05
hv,NSGA-II,MOEA/D,122958299.90943488,36825216.21890899,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
hv,NSGA-II,PLS,122958299.90943488,56597013.75288324,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
hv,NSGA-II,Graph-PMX NSGA-II,122958299.90943488,126115466.54348342,153.0,0.10483990423381329,-0.3419354838709677,medium,0.10483990423381329,False
hv,MOEA/D,PLS,36825216.21890899,56597013.75288324,33.0,5.973502993583679e-06,-0.8580645161290322,large,1.1947005987167358e-05,True
hv,MOEA/D,Graph-PMX NSGA-II,36825216.21890899,126115466.54348342,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
hv,PLS,Graph-PMX NSGA-II,56597013.75288324,126115466.54348342,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
igd_plus,NSGA-II,MOEA/D,177.73627509164817,78.63658241925918,22.0,9.98377799987793e-07,0.9053763440860215,large,2.995133399963379e-06,True
igd_plus,NSGA-II,PLS,177.73627509164817,1308.2548067746434,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
igd_plus,NSGA-II,Graph-PMX NSGA-II,177.73627509164817,137.38329895686022,77.0,0.0008718203753232956,0.6688172043010753,large,0.0008718203753232956,True
igd_plus,MOEA/D,PLS,78.63658241925918,1308.2548067746434,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
igd_plus,MOEA/D,Graph-PMX NSGA-II,78.63658241925918,137.38329895686022,61.0,0.00018860027194023132,-0.7376344086021506,large,0.00037720054388046265,True
igd_plus,PLS,Graph-PMX NSGA-II,1308.2548067746434,137.38329895686022,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
spread,NSGA-II,MOEA/D,2649.82053388137,231.51934465830493,0.0,1.862645149230957e-09,1.0,large,1.1175870895385742e-08,True
spread,NSGA-II,PLS,2649.82053388137,1621.6450437682208,6.0,2.60770320892334e-08,0.9741935483870968,large,5.21540641784668e-08,True
spread,NSGA-II,Graph-PMX NSGA-II,2649.82053388137,3224.3334307847904,58.0,0.00013739429414272308,-0.7505376344086021,large,0.00013739429414272308,True
spread,MOEA/D,PLS,231.51934465830493,1621.6450437682208,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
spread,MOEA/D,Graph-PMX NSGA-II,231.51934465830493,3224.3334307847904,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
spread,PLS,Graph-PMX NSGA-II,1621.6450437682208,3224.3334307847904,0.0,1.862645149230957e-09,-1.0,large,1.1175870895385742e-08,True
