solution_id,seed,surgery_id,ot_id,day,team_id,start_hour,duration_hr
1,579362555,152,1,11,2,0.0,2.5
1,579362555,9,1,46,2,0.0,2.5
1,579362555,61,1,3,3,0.0,3.5
1,579362555,116,1,49,2,0.0,2.5
1,579362555,111,1,12,2,0.0,2.5
1,579362555,198,1,35,2,0.0,2.5
1,579362555,204,1,9,2,0.0,2.5
1,579362555,101,1,52,3,0.0,1.5
1,579362555,33,1,3,2,3.5,2.5
1,579362555,216,1,17,3,0.0,3.5
1,579362555,231,5,5,2,0.0,4.0
1,579362555,91,1,11,2,2.5,2.5
1,579362555,90,1,17,3,3.5,1.0
1,579362555,105,1,21,3,0.0,3.5
1,579362555,87,1,12,2,2.5,2.5
1,579362555,129,1,54,2,0.0,4.0
1,579362555,11,1,54,2,4.0,4.0
1,579362555,5,1,53,3,0.0,1.0
1,579362555,86,1,5,3,0.0,3.5
1,579362555,156,1,6,3,0.0,1.0
1,579362555,263,5,7,2,0.0,4.0
1,579362555,28,1,51,2,0.0,4.0
1,579362555,18,5,32,2,0.0,4.0
1,579362555,104,1,55,2,0.0,4.0
1,579362555,165,1,5,3,3.5,1.0
1,579362555,205,2,29,1,0.0,1.5
1,579362555,48,1,8,2,0.0,2.5
1,579362555,184,1,20,2,0.0,2.0
1,579362555,171,1,29,3,0.0,1.5
1,579362555,51,1,6,2,1.0,2.0
1,579362555,29,1,46,2,2.5,5.0
1,579362555,167,1,49,3,2.5,1.0
1,579362555,248,4,17,2,0.0,5.0
1,579362555,170,1,42,2,0.0,2.5
1,579362555,73,2,15,1,0.0,2.5
1,579362555,20,5,21,2,0.0,4.0
1,579362555,186,5,38,2,0.0,4.0
1,579362555,258,5,47,2,0.0,4.5
1,579362555,95,2,52,1,0.0,2.5
1,579362555,209,1,35,3,2.5,3.5
1,579362555,200,1,42,2,2.5,2.5
1,579362555,163,1,6,3,3.0,1.0
1,579362555,176,2,19,1,0.0,2.5
1,579362555,34,1,18,2,0.0,4.0
1,579362555,106,5,13,2,0.0,4.5
1,579362555,79,2,35,3,0.0,3.5
1,579362555,119,1,48,3,0.0,1.0
1,579362555,121,2,42,3,0.0,3.5
1,579362555,181,1,5,2,4.5,2.5
1,579362555,280,1,20,2,2.0,4.0
1,579362555,279,2,40,1,0.0,1.5
1,579362555,151,2,14,1,0.0,1.5
1,579362555,278,1,52,2,1.5,5.0
1,579362555,244,5,41,2,0.0,4.0
1,579362555,17,1,25,2,0.0,5.0
1,579362555,159,1,39,2,0.0,4.0
1,579362555,178,1,38,2,0.0,2.0
1,579362555,246,1,35,8,6.0,1.5
1,579362555,114,1,36,2,0.0,2.5
1,579362555,173,5,40,2,0.0,4.5
1,579362555,76,1,8,2,2.5,2.5
1,579362555,172,5,32,2,4.0,4.0
1,579362555,147,2,46,3,0.0,3.5
1,579362555,148,1,7,3,0.0,3.5
1,579362555,71,1,19,2,0.0,5.0
1,579362555,230,2,8,1,0.0,1.5
1,579362555,236,1,51,2,4.0,4.0
1,579362555,23,1,37,7,0.0,4.0
1,579362555,46,1,10,3,0.0,3.5
1,579362555,122,2,50,1,0.0,1.5
1,579362555,195,2,9,1,0.0,2.5
1,579362555,197,1,13,2,0.0,2.5
1,579362555,243,1,37,7,4.0,4.0
1,579362555,25,1,1,2,0.0,5.0
1,579362555,187,1,7,3,3.5,1.5
1,579362555,57,1,9,2,2.5,2.5
1,579362555,107,1,14,2,0.0,2.0
1,579362555,264,4,52,4,0.0,5.0
1,579362555,52,2,8,1,1.5,1.5
