solution_id,seed,surgery_id,ot_id,day,team_id,start_hour,duration_hr
1,1357791198,22,1,22,1,0.0,1.5
1,1357791198,118,1,5,1,0.0,2.0
1,1357791198,7,1,15,1,0.0,2.5
1,1357791198,37,1,24,1,0.0,2.0
1,1357791198,113,1,16,1,0.0,2.5
1,1357791198,112,1,10,1,0.0,1.0
1,1357791198,11,1,5,1,2.0,2.5
1,1357791198,77,1,23,1,0.0,1.5
1,1357791198,78,1,15,1,2.5,2.5
1,1357791198,12,1,24,1,2.0,2.0
1,1357791198,101,1,1,1,0.0,1.0
1,1357791198,80,1,20,1,0.0,1.5
1,1357791198,20,1,13,1,0.0,2.5
1,1357791198,116,1,25,1,0.0,1.0
1,1357791198,6,1,17,1,0.0,1.5
1,1357791198,57,1,19,1,0.0,4.0
1,1357791198,33,1,20,1,1.5,1.5
1,1357791198,103,1,6,1,0.0,1.5
1,1357791198,9,1,25,1,1.0,2.0
1,1357791198,62,1,12,1,0.0,3.5
1,1357791198,8,1,13,1,2.5,2.5
1,1357791198,85,1,20,1,3.0,2.5
1,1357791198,10,1,25,1,3.0,2.5
1,1357791198,49,1,1,1,1.0,4.0
1,1357791198,47,1,7,1,0.0,3.5
1,1357791198,110,2,20,2,0.0,3.5
1,1357791198,86,1,8,1,0.0,1.5
1,1357791198,36,1,25,1,5.5,1.5
1,1357791198,55,1,21,2,0.0,3.5
1,1357791198,61,1,9,2,0.0,2.5
1,1357791198,114,1,4,1,0.0,1.0
1,1357791198,107,1,22,1,1.5,3.5
1,1357791198,63,1,9,2,2.5,2.0
1,1357791198,31,1,10,1,1.0,1.0
1,1357791198,111,1,2,1,0.0,1.5
1,1357791198,75,1,3,4,0.0,1.5
1,1357791198,117,1,23,1,1.5,2.0
1,1357791198,109,1,9,4,4.5,1.5
1,1357791198,28,1,13,1,5.0,2.5
1,1357791198,92,1,3,2,1.5,2.0
1,1357791198,96,1,8,1,1.5,1.0
1,1357791198,98,1,8,1,2.5,2.5
1,1357791198,26,1,23,1,3.5,4.0
1,1357791198,106,1,14,2,0.0,1.0
1,1357791198,93,1,24,1,4.0,3.5
1,1357791198,3,1,1,1,5.0,1.5
1,1357791198,59,1,3,2,3.5,2.5
1,1357791198,69,1,17,1,1.5,1.0
1,1357791198,30,2,13,2,0.0,3.5
1,1357791198,27,1,2,1,1.5,1.5
1,1357791198,94,1,10,1,2.0,3.5
1,1357791198,19,1,1,1,6.5,1.0
1,1357791198,68,1,17,1,2.5,1.5
1,1357791198,60,1,18,2,0.0,1.0
1,1357791198,83,1,7,1,3.5,1.5
1,1357791198,56,3,25,2,0.0,4.0
1,1357791198,42,1,4,1,1.0,4.0
1,1357791198,65,2,15,2,0.0,3.5
1,1357791198,81,1,21,4,3.5,1.5
1,1357791198,73,1,14,4,1.0,2.5
1,1357791198,51,1,14,2,3.5,2.5
1,1357791198,105,1,26,1,0.0,3.5
1,1357791198,1,1,9,4,6.0,1.5
1,1357791198,25,1,10,1,5.5,1.0
1,1357791198,44,1,2,1,3.0,1.0
1,1357791198,5,1,26,1,3.5,1.5
1,1357791198,43,4,1,4,0.0,1.5
1,1357791198,100,1,15,1,5.0,2.5
1,1357791198,41,1,21,2,5.0,1.5
1,1357791198,4,1,27,2,0.0,4.0
1,1357791198,45,4,1,4,1.5,2.5
1,1357791198,88,1,26,1,5.0,2.5
1,1357791198,40,1,14,4,6.0,1.5
1,1357791198,67,1,28,1,0.0,4.0
1,1357791198,64,1,6,1,1.5,4.0
1,1357791198,50,1,3,2,6.0,1.5
1,1357791198,54,1,22,1,5.0,1.5
1,1357791198,39,1,16,1,2.5,2.5
1,1357791198,76,3,8,2,0.0,4.0
1,1357791198,48,1,19,1,4.0,1.5
1,1357791198,14,1,18,2,1.0,3.5
1,1357791198,119,1,18,2,4.5,1.5
1,1357791198,104,3,9,3,0.0,4.0
1,1357791198,108,1,11,1,0.0,1.5
1,1357791198,79,1,2,1,4.0,1.0
1,1357791198,58,1,21,4,6.5,1.5
1,1357791198,90,1,17,1,4.0,3.5
1,1357791198,38,1,27,4,4.0,2.5
1,1357791198,29,1,11,1,1.5,2.5
1,1357791198,15,1,27,4,6.5,1.5
1,1357791198,115,1,6,1,5.5,1.5
1,1357791198,89,1,7,1,5.0,2.5
1,1357791198,23,3,2,2,0.0,4.0
1,1357791198,99,1,18,2,6.0,2.0
1,1357791198,84,4,6,4,0.0,2.5
1,1357791198,102,3,18,3,0.0,2.0
1,1357791198,21,2,3,4,0.0,3.5
1,1357791198,2,1,19,1,5.5,2.0
1,1357791198,52,1,22,1,6.5,1.5
1,1357791198,71,1,12,1,3.5,1.5
1,1357791198,35,2,3,2,3.5,1.5
1,1357791198,82,1,12,1,5.0,1.5
1,1357791198,16,2,24,2,0.0,1.0
1,1357791198,34,1,28,1,4.0,2.5
1,1357791198,32,1,12,1,6.5,1.5
1,1357791198,87,4,28,4,0.0,2.5
1,1357791198,74,2,19,2,0.0,1.5
1,1357791198,17,3,28,2,0.0,2.5
1,1357791198,120,4,3,4,0.0,2.5
1,1357791198,24,3,28,2,2.5,2.5
1,1357791198,46,2,12,2,0.0,1.5
1,1357791198,66,1,4,1,5.0,2.0
1,1357791198,97,1,5,1,4.5,2.5
2,1357791198,22,1,22,1,0.0,1.5
2,1357791198,118,1,5,1,0.0,2.0
2,1357791198,7,1,15,1,0.0,2.5
2,1357791198,37,1,24,1,0.0,2.0
2,1357791198,4,1,21,1,0.0,4.0
2,1357791198,112,1,10,1,0.0,1.0
2,1357791198,11,1,5,1,2.0,2.5
2,1357791198,77,1,23,1,0.0,1.5
2,1357791198,78,1,15,1,2.5,2.5
2,1357791198,12,1,24,1,2.0,2.0
2,1357791198,94,1,10,1,1.0,3.5
2,1357791198,80,1,20,1,0.0,1.5
2,1357791198,20,1,13,1,0.0,2.5
2,1357791198,45,1,1,1,0.0,2.5
2,1357791198,59,1,3,1,0.0,2.5
2,1357791198,57,1,19,2,0.0,4.0
2,1357791198,33,1,20,1,1.5,1.5
2,1357791198,103,1,6,1,0.0,1.5
2,1357791198,9,1,25,2,0.0,2.0
2,1357791198,69,1,17,1,0.0,1.0
2,1357791198,40,1,14,1,0.0,1.5
2,1357791198,85,1,20,1,3.0,2.5
2,1357791198,10,1,25,4,2.0,2.5
2,1357791198,35,1,3,1,2.5,1.5
2,1357791198,47,1,7,1,0.0,3.5
2,1357791198,19,1,1,1,2.5,1.0
2,1357791198,86,1,8,1,0.0,1.5
2,1357791198,36,1,25,4,4.5,1.5
2,1357791198,55,2,20,2,0.0,3.5
2,1357791198,61,1,9,2,0.0,2.5
2,1357791198,38,4,25,4,0.0,2.5
2,1357791198,107,1,22,1,1.5,3.5
2,1357791198,63,1,9,2,2.5,2.0
2,1357791198,31,1,10,1,4.5,1.0
2,1357791198,41,1,21,1,4.0,1.5
2,1357791198,75,1,3,1,4.0,1.5
2,1357791198,114,1,4,2,0.0,1.0
2,1357791198,109,1,9,4,4.5,1.5
2,1357791198,28,1,13,1,2.5,2.5
2,1357791198,92,1,3,1,5.5,2.0
2,1357791198,96,1,8,1,1.5,1.0
2,1357791198,100,1,15,1,5.0,2.5
2,1357791198,26,1,23,1,1.5,4.0
2,1357791198,106,1,14,1,1.5,1.0
2,1357791198,93,1,24,1,4.0,3.5
2,1357791198,3,1,1,1,3.5,1.5
2,1357791198,6,1,17,1,1.0,1.5
2,1357791198,62,1,12,1,0.0,3.5
2,1357791198,30,2,13,2,0.0,3.5
2,1357791198,49,3,1,2,0.0,4.0
2,1357791198,101,1,1,1,5.0,1.0
2,1357791198,64,1,6,1,1.5,4.0
2,1357791198,8,1,13,1,5.0,2.5
2,1357791198,60,1,18,1,0.0,1.0
2,1357791198,83,1,7,1,3.5,1.5
2,1357791198,56,3,25,2,0.0,4.0
2,1357791198,42,1,4,2,1.0,4.0
2,1357791198,65,2,15,2,0.0,3.5
2,1357791198,81,1,21,1,5.5,1.5
2,1357791198,73,1,14,1,2.5,2.5
2,1357791198,51,1,14,1,5.0,2.5
2,1357791198,105,1,26,1,0.0,3.5
2,1357791198,1,1,9,4,6.0,1.5
2,1357791198,25,1,10,1,5.5,1.0
2,1357791198,44,1,2,1,0.0,1.0
2,1357791198,88,1,23,1,5.5,2.5
2,1357791198,24,1,26,1,3.5,2.5
2,1357791198,98,1,8,1,2.5,2.5
2,1357791198,111,1,2,1,1.0,1.5
2,1357791198,113,1,16,4,0.0,2.5
2,1357791198,116,1,27,1,0.0,1.0
2,1357791198,5,1,27,1,1.0,1.5
2,1357791198,68,1,17,1,2.5,1.5
2,1357791198,67,1,27,1,2.5,4.0
2,1357791198,110,1,28,1,0.0,3.5
2,1357791198,50,2,3,2,0.0,1.5
2,1357791198,54,1,22,1,5.0,1.5
2,1357791198,39,1,16,4,2.5,2.5
2,1357791198,76,3,8,2,0.0,4.0
2,1357791198,48,1,19,4,4.0,1.5
2,1357791198,14,1,18,1,1.0,3.5
2,1357791198,119,1,18,1,4.5,1.5
2,1357791198,104,3,9,3,0.0,4.0
2,1357791198,108,1,11,2,0.0,1.5
2,1357791198,89,1,7,1,5.0,2.5
2,1357791198,58,4,21,4,0.0,1.5
2,1357791198,90,1,17,1,4.0,3.5
2,1357791198,117,1,28,1,3.5,2.0
2,1357791198,29,1,11,4,1.5,2.5
2,1357791198,15,1,28,1,5.5,1.5
2,1357791198,115,1,6,1,5.5,1.5
2,1357791198,79,1,2,1,2.5,1.0
2,1357791198,23,1,2,1,3.5,4.0
2,1357791198,99,1,18,1,6.0,2.0
2,1357791198,84,4,6,4,0.0,2.5
2,1357791198,102,3,18,2,0.0,2.0
2,1357791198,21,2,3,2,1.5,3.5
2,1357791198,2,1,19,2,5.5,2.0
2,1357791198,52,1,22,1,6.5,1.5
2,1357791198,71,1,12,1,3.5,1.5
2,1357791198,27,2,2,2,0.0,1.5
2,1357791198,82,1,12,1,5.0,1.5
2,1357791198,16,2,24,2,0.0,1.0
2,1357791198,34,3,28,2,0.0,2.5
2,1357791198,32,1,12,1,6.5,1.5
2,1357791198,87,4,28,4,0.0,2.5
2,1357791198,74,2,19,2,0.0,1.5
2,1357791198,17,3,28,2,2.5,2.5
2,1357791198,120,4,3,4,0.0,2.5
2,1357791198,43,1,1,1,6.0,1.5
2,1357791198,46,2,12,2,0.0,1.5
2,1357791198,66,1,4,2,5.0,2.0
2,1357791198,97,1,5,1,4.5,2.5
3,1357791198,22,1,22,1,0.0,1.5
3,1357791198,11,1,5,1,0.0,2.5
3,1357791198,7,1,15,1,0.0,2.5
3,1357791198,57,1,19,1,0.0,4.0
3,1357791198,50,1,3,1,0.0,1.5
3,1357791198,112,1,10,1,0.0,1.0
3,1357791198,103,1,6,1,0.0,1.5
3,1357791198,111,1,2,1,0.0,1.5
3,1357791198,28,1,13,1,0.0,2.5
3,1357791198,12,1,24,1,0.0,2.0
3,1357791198,80,1,20,1,0.0,1.5
3,1357791198,35,1,3,1,1.5,1.5
3,1357791198,20,1,13,1,2.5,2.5
3,1357791198,36,1,25,1,0.0,1.5
3,1357791198,33,1,20,1,1.5,1.5
3,1357791198,25,1,10,1,1.0,1.0
3,1357791198,6,1,17,1,0.0,1.5
3,1357791198,101,1,1,1,0.0,1.0
3,1357791198,9,1,25,1,1.5,2.0
3,1357791198,67,1,23,1,0.0,4.0
3,1357791198,68,1,17,1,1.5,1.5
3,1357791198,40,1,14,1,0.0,1.5
3,1357791198,38,1,25,1,3.5,2.5
3,1357791198,82,1,9,1,0.0,1.5
3,1357791198,85,1,20,1,3.0,2.5
3,1357791198,71,1,9,1,1.5,1.5
3,1357791198,62,1,12,1,0.0,3.5
3,1357791198,116,1,25,1,6.0,1.0
3,1357791198,37,1,24,1,2.0,2.0
3,1357791198,54,1,22,1,1.5,1.5
3,1357791198,94,1,10,1,2.0,3.5
3,1357791198,93,1,22,1,3.0,3.5
3,1357791198,63,1,9,1,3.0,2.0
3,1357791198,69,1,17,1,3.0,1.0
3,1357791198,110,2,20,2,0.0,3.5
3,1357791198,102,1,17,1,4.0,2.0
3,1357791198,92,1,3,1,3.0,2.0
3,1357791198,79,1,2,1,1.5,1.0
3,1357791198,48,1,19,1,4.0,1.5
3,1357791198,76,1,7,1,0.0,4.0
3,1357791198,96,1,8,2,0.0,1.0
3,1357791198,61,1,9,1,5.0,2.5
3,1357791198,26,1,24,1,4.0,4.0
3,1357791198,77,1,23,1,4.0,1.5
3,1357791198,107,2,25,2,0.0,3.5
3,1357791198,3,1,1,1,1.0,1.5
3,1357791198,59,1,3,1,5.0,2.5
3,1357791198,21,1,2,1,2.5,3.5
3,1357791198,30,2,13,2,0.0,3.5
3,1357791198,49,1,1,1,2.5,4.0
3,1357791198,78,1,15,1,2.5,2.5
3,1357791198,64,1,6,1,1.5,4.0
3,1357791198,113,1,16,4,0.0,2.5
3,1357791198,47,1,8,2,1.0,3.5
3,1357791198,83,1,7,1,4.0,1.5
3,1357791198,56,1,21,2,0.0,4.0
3,1357791198,42,1,4,2,0.0,4.0
3,1357791198,65,2,15,2,0.0,3.5
3,1357791198,81,1,21,4,4.0,1.5
3,1357791198,73,1,14,1,1.5,2.5
3,1357791198,51,1,14,1,4.0,2.5
3,1357791198,105,1,26,1,0.0,3.5
3,1357791198,1,4,9,4,0.0,1.5
3,1357791198,55,1,27,2,0.0,3.5
3,1357791198,4,1,28,1,0.0,4.0
3,1357791198,27,1,2,1,6.0,1.5
3,1357791198,100,1,15,1,5.0,2.5
3,1357791198,41,1,21,2,5.5,1.5
3,1357791198,44,2,2,2,0.0,1.0
3,1357791198,10,4,25,4,0.0,2.5
3,1357791198,5,1,26,1,3.5,1.5
3,1357791198,8,1,13,1,5.0,2.5
3,1357791198,23,3,3,2,0.0,4.0
3,1357791198,99,1,18,1,0.0,2.0
3,1357791198,98,1,8,2,4.5,2.5
3,1357791198,60,1,18,1,2.0,1.0
3,1357791198,39,1,18,1,3.0,2.5
3,1357791198,16,1,23,1,5.5,1.0
3,1357791198,45,4,1,4,0.0,2.5
3,1357791198,14,2,18,2,0.0,3.5
3,1357791198,119,1,18,1,5.5,1.5
3,1357791198,88,1,27,4,3.5,2.5
3,1357791198,104,3,9,2,0.0,4.0
3,1357791198,108,1,11,2,0.0,1.5
3,1357791198,89,1,7,1,5.5,2.5
3,1357791198,58,4,21,4,0.0,1.5
3,1357791198,90,2,17,2,0.0,3.5
3,1357791198,117,1,27,2,6.0,2.0
3,1357791198,29,1,11,4,1.5,2.5
3,1357791198,15,1,28,1,4.0,1.5
3,1357791198,115,1,6,1,5.5,1.5
3,1357791198,109,1,11,4,4.0,1.5
3,1357791198,86,1,12,1,3.5,1.5
3,1357791198,52,1,19,1,5.5,1.5
3,1357791198,84,4,6,4,0.0,2.5
3,1357791198,75,4,3,4,0.0,1.5
3,1357791198,31,1,12,1,5.0,1.0
3,1357791198,2,3,22,2,0.0,2.0
3,1357791198,106,1,14,1,6.5,1.0
3,1357791198,19,1,1,1,6.5,1.0
3,1357791198,114,1,4,2,4.0,1.0
3,1357791198,43,4,1,4,2.5,1.5
3,1357791198,118,1,5,1,2.5,2.0
3,1357791198,34,1,28,1,5.5,2.5
3,1357791198,32,4,6,4,2.5,1.5
3,1357791198,87,4,28,4,0.0,2.5
3,1357791198,74,2,19,4,0.0,1.5
3,1357791198,17,3,28,2,0.0,2.5
3,1357791198,120,4,3,4,1.5,2.5
3,1357791198,24,3,28,2,2.5,2.5
3,1357791198,46,1,12,1,6.0,1.5
3,1357791198,66,1,4,2,5.0,2.0
3,1357791198,97,4,12,4,0.0,2.5
4,1357791198,22,1,22,1,0.0,1.5
4,1357791198,35,1,3,1,0.0,1.5
4,1357791198,7,1,15,1,0.0,2.5
4,1357791198,111,1,2,1,0.0,1.5
4,1357791198,50,1,3,1,1.5,1.5
4,1357791198,112,1,10,1,0.0,1.0
4,1357791198,103,1,6,1,0.0,1.5
4,1357791198,57,1,19,1,0.0,4.0
4,1357791198,4,1,21,1,0.0,4.0
4,1357791198,9,1,25,1,0.0,2.0
4,1357791198,80,1,20,1,0.0,1.5
4,1357791198,11,1,5,1,0.0,2.5
4,1357791198,20,1,13,1,0.0,2.5
4,1357791198,36,1,25,1,2.0,1.5
4,1357791198,33,1,20,1,1.5,1.5
4,1357791198,25,1,10,1,1.0,1.0
4,1357791198,6,1,17,1,0.0,1.5
4,1357791198,101,1,1,1,0.0,1.0
4,1357791198,12,1,24,1,0.0,2.0
4,1357791198,67,1,23,2,0.0,4.0
4,1357791198,39,1,14,1,0.0,2.5
4,1357791198,40,1,14,1,2.5,1.5
4,1357791198,38,1,25,1,3.5,2.5
4,1357791198,82,1,9,1,0.0,1.5
4,1357791198,85,1,20,1,3.0,2.5
4,1357791198,71,1,9,1,1.5,1.5
4,1357791198,62,1,12,1,0.0,3.5
4,1357791198,116,1,25,1,6.0,1.0
4,1357791198,37,1,24,1,2.0,2.0
4,1357791198,54,1,22,1,1.5,1.5
4,1357791198,94,1,10,1,2.0,3.5
4,1357791198,93,1,22,1,3.0,3.5
4,1357791198,63,1,9,1,3.0,2.0
4,1357791198,69,1,17,1,1.5,1.0
4,1357791198,110,2,20,2,0.0,3.5
4,1357791198,102,1,17,1,2.5,2.0
4,1357791198,92,1,3,1,3.0,2.0
4,1357791198,79,1,2,1,1.5,1.0
4,1357791198,48,1,19,1,4.0,1.5
4,1357791198,76,1,7,1,0.0,4.0
4,1357791198,96,1,8,2,0.0,1.0
4,1357791198,61,1,9,1,5.0,2.5
4,1357791198,26,1,24,1,4.0,4.0
4,1357791198,77,1,23,2,4.0,1.5
4,1357791198,107,2,25,2,0.0,3.5
4,1357791198,3,1,1,1,1.0,1.5
4,1357791198,59,1,3,1,5.0,2.5
4,1357791198,21,1,2,1,2.5,3.5
4,1357791198,30,1,13,1,2.5,3.5
4,1357791198,49,1,1,1,2.5,4.0
4,1357791198,78,1,15,1,2.5,2.5
4,1357791198,64,1,6,1,1.5,4.0
4,1357791198,113,1,16,4,0.0,2.5
4,1357791198,47,1,8,2,1.0,3.5
4,1357791198,83,1,7,1,4.0,1.5
4,1357791198,56,1,26,1,0.0,4.0
4,1357791198,42,1,4,2,0.0,4.0
4,1357791198,65,2,15,2,0.0,3.5
4,1357791198,81,1,21,1,4.0,1.5
4,1357791198,73,1,14,1,4.0,2.5
4,1357791198,51,3,14,2,0.0,2.5
4,1357791198,105,1,27,1,0.0,3.5
4,1357791198,1,4,9,4,0.0,1.5
4,1357791198,55,1,28,1,0.0,3.5
4,1357791198,28,4,13,4,0.0,2.5
4,1357791198,27,1,2,1,6.0,1.5
4,1357791198,100,1,15,1,5.0,2.5
4,1357791198,41,1,21,1,5.5,1.5
4,1357791198,44,2,2,2,0.0,1.0
4,1357791198,10,4,25,4,0.0,2.5
4,1357791198,5,1,26,1,4.0,1.5
4,1357791198,8,1,16,2,2.5,2.5
4,1357791198,23,3,3,2,0.0,4.0
4,1357791198,99,1,18,2,0.0,2.0
4,1357791198,98,1,8,2,4.5,2.5
4,1357791198,60,1,18,2,2.0,1.0
4,1357791198,68,1,18,4,3.0,1.5
4,1357791198,16,1,23,2,5.5,1.0
4,1357791198,45,4,1,4,0.0,2.5
4,1357791198,14,1,18,2,4.5,3.5
4,1357791198,119,2,18,2,0.0,1.5
4,1357791198,88,1,27,1,3.5,2.5
4,1357791198,104,3,9,2,0.0,4.0
4,1357791198,108,1,11,2,0.0,1.5
4,1357791198,89,1,7,1,5.5,2.5
4,1357791198,58,4,21,4,0.0,1.5
