solution_id,seed,f1,f2,f3,scheduled,unscheduled,permutation_valid,feasible
1,1826701614,-32.0,67.75,1.4725000000000001,20,2,True,True
2,1097657231,-28.0,67.75,1.4275,20,2,True,True
3,1960127675,-24.0,118.0,0.8984000000000002,21,1,True,True
4,161576974,-24.0,132.0,0.7375999999999999,21,1,True,True
5,1097657231,-23.0,85.25,1.1600000000000001,20,2,True,True
6,2084654369,-23.0,118.0,0.5054000000000001,21,1,True,True
7,5880883,-23.0,123.5,0.27359999999999995,21,1,True,True
8,161576974,-23.0,132.0,0.19159999999999996,21,1,True,True
9,1367864806,-22.0,67.75,1.4264000000000001,20,2,True,True
10,579362555,-18.0,85.25,1.1400000000000001,20,2,True,True
11,846428919,-18.0,123.5,0.2496,21,1,True,True
12,376383645,-18.0,132.0,0.1701,21,1,True,True
13,1826701614,-17.0,46.25,0.40659999999999996,20,2,True,True
14,1367864806,-17.0,88.75,0.39859999999999995,20,2,True,True
15,1746484539,-15.0,118.0,0.3259,21,1,True,True
16,1367864806,-12.0,46.25,0.3601,20,2,True,True
17,1826701614,-8.0,63.75,0.21260000000000004,20,2,True,True
18,661058651,-8.0,85.25,0.18460000000000001,20,2,True,True
19,1367864806,-3.0,85.25,0.1406,20,2,True,True
20,846428919,-3.0,128.25,0.1266,20,2,True,True
21,1367864806,-3.0,154.75,0.11760000000000001,20,2,True,True
22,1826701614,-2.0,46.25,0.3571,20,2,True,True
23,1367864806,2.0,63.75,0.1846,20,2,True,True
24,1746484539,2.0,85.25,0.1266,20,2,True,True
25,1367864806,2.0,142.25,0.10510000000000001,20,2,True,True
26,1826701614,2.0,154.75,0.08860000000000001,20,2,True,True
27,1826701614,3.0,46.25,0.3454,20,2,True,True
28,1081530686,8.0,103.75,0.10510000000000001,20,2,True,True
29,1367864806,13.0,41.5,3.2916000000000003,18,4,True,True
30,1367864806,17.0,41.5,3.1795999999999998,18,4,True,True
31,1826701614,17.0,63.75,0.17739999999999997,20,2,True,True
32,579362555,17.0,101.25,0.10510000000000001,20,2,True,True
33,2084654369,17.0,142.25,0.09590000000000001,20,2,True,True
34,1097657231,18.0,46.25,0.3435999999999999,20,2,True,True
35,1826701614,22.0,63.75,0.15960000000000002,20,2,True,True
36,1081530686,27.0,85.25,0.1016,20,2,True,True
37,1826701614,28.0,41.5,1.7600000000000002,18,4,True,True
38,1566581934,28.0,46.25,0.28209999999999996,20,2,True,True
39,1826701614,32.0,41.5,1.5583999999999998,18,4,True,True
40,1097657231,32.0,63.75,0.07660000000000002,20,2,True,True
41,376383645,32.0,85.25,0.06360000000000002,20,2,True,True
42,1826701614,43.0,41.5,1.3096,18,4,True,True
43,35492826,47.0,41.5,1.2344,18,4,True,True
44,579362555,47.0,42.75,1.2338999999999998,18,4,True,True
45,2008052738,47.0,66.25,0.06910000000000002,19,3,True,True
46,376383645,47.0,68.5,0.06740000000000002,19,3,True,True
47,5880883,47.0,70.5,0.0619,19,3,True,True
48,35492826,47.0,105.75,0.05910000000000001,19,3,True,True
49,1826701614,58.0,41.5,0.975,18,4,True,True
50,1826701614,62.0,41.5,0.8373999999999997,18,4,True,True
51,579362555,62.0,107.0,0.044600000000000015,19,3,True,True
52,661058651,62.0,150.0,0.03810000000000001,19,3,True,True
53,1357791198,68.0,70.5,0.056100000000000004,19,3,True,True
54,1202413557,68.0,161.5,0.028599999999999997,19,3,True,True
55,1826701614,73.0,41.5,0.71,18,4,True,True
56,1826701614,77.0,41.5,0.6754,18,4,True,True
57,1826701614,78.0,41.5,0.6694,18,4,True,True
58,1826701614,88.0,41.5,0.5234,18,4,True,True
59,2084654369,92.0,66.25,0.043600000000000014,19,3,True,True
60,87989972,92.0,68.5,0.0364,19,3,True,True
61,1097657231,92.0,93.25,0.0356,19,3,True,True
62,2008052738,92.0,95.75,0.025400000000000006,19,3,True,True
63,87989972,98.0,70.5,0.0284,19,3,True,True
64,661058651,107.0,112.5,0.0125,18,4,True,True
65,376383645,107.0,120.75,0.008899999999999998,18,4,True,True
66,1826701614,133.0,41.5,0.5224,18,4,True,True
