solution_id,seed,surgery_id,ot_id,day,team_id,start_hour,duration_hr
1,1826701614,16,1,4,1,0.0,1.0
1,1826701614,7,1,1,1,0.0,1.0
1,1826701614,9,1,3,1,0.0,1.5
1,1826701614,21,1,5,1,0.0,1.5
1,1826701614,10,1,3,1,1.5,1.0
1,1826701614,6,1,2,1,0.0,3.5
1,1826701614,20,1,4,1,1.0,1.5
1,1826701614,3,1,1,1,1.0,1.0
1,1826701614,8,1,4,1,2.5,1.0
1,1826701614,5,1,3,1,2.5,1.0
1,1826701614,2,1,4,1,3.5,3.5
1,1826701614,15,1,5,1,1.5,3.5
1,1826701614,17,1,5,1,5.0,1.0
1,1826701614,4,1,6,2,0.0,3.5
1,1826701614,18,1,7,1,0.0,3.5
1,1826701614,19,1,2,1,3.5,1.0
1,1826701614,22,1,1,1,2.0,1.5
1,1826701614,13,1,6,2,3.5,1.0
1,1826701614,11,1,7,1,3.5,1.5
1,1826701614,1,1,1,1,3.5,1.5
2,1097657231,9,1,3,1,0.0,1.5
2,1097657231,2,1,2,1,0.0,3.5
2,1097657231,20,1,4,1,0.0,1.5
2,1097657231,7,1,1,1,0.0,1.0
2,1097657231,17,1,4,1,1.5,1.0
2,1097657231,16,1,4,1,2.5,1.0
2,1097657231,3,1,1,1,1.0,1.0
2,1097657231,6,1,4,1,3.5,3.5
2,1097657231,21,1,5,1,0.0,1.5
2,1097657231,4,1,5,1,1.5,3.5
2,1097657231,5,1,3,1,1.5,1.0
2,1097657231,8,1,5,1,5.0,1.0
2,1097657231,10,1,3,1,2.5,1.0
2,1097657231,1,1,1,1,2.0,1.5
2,1097657231,15,1,6,2,0.0,3.5
2,1097657231,18,1,7,1,0.0,3.5
2,1097657231,13,1,6,2,3.5,1.0
2,1097657231,11,1,7,1,3.5,1.5
2,1097657231,19,1,2,1,3.5,1.0
2,1097657231,22,1,1,1,3.5,1.5
3,1960127675,17,1,4,1,0.0,1.0
3,1960127675,9,1,3,1,0.0,1.5
3,1960127675,3,1,1,1,0.0,1.0
3,1960127675,13,1,5,1,0.0,1.0
3,1960127675,1,1,1,1,1.0,1.5
3,1960127675,20,1,4,1,1.0,1.5
3,1960127675,7,1,1,1,2.5,1.0
3,1960127675,22,1,1,1,3.5,1.5
3,1960127675,5,1,3,1,1.5,1.0
3,1960127675,14,1,5,1,1.0,1.5
3,1960127675,19,1,2,1,0.0,1.0
3,1960127675,12,2,1,2,0.0,3.5
3,1960127675,10,1,3,1,2.5,1.0
3,1960127675,8,1,4,1,2.5,1.0
3,1960127675,2,1,4,1,3.5,3.5
3,1960127675,6,1,5,1,2.5,3.5
3,1960127675,15,1,6,2,0.0,3.5
3,1960127675,16,1,6,2,3.5,1.0
3,1960127675,18,1,7,1,0.0,3.5
3,1960127675,11,1,7,1,3.5,1.5
3,1960127675,21,1,7,1,5.0,1.5
4,161576974,9,1,3,1,0.0,1.5
4,161576974,20,1,4,1,0.0,1.5
4,161576974,8,1,4,1,1.5,1.0
4,161576974,12,1,1,1,0.0,3.5
4,161576974,17,1,4,1,2.5,1.0
4,161576974,1,1,1,1,3.5,1.5
4,161576974,19,1,2,1,0.0,1.0
4,161576974,13,1,5,1,0.0,1.0
4,161576974,2,1,4,1,3.5,3.5
4,161576974,7,1,1,1,5.0,1.0
4,161576974,11,1,5,1,1.0,1.5
4,161576974,16,1,6,2,0.0,1.0
4,161576974,6,1,5,1,2.5,3.5
4,161576974,14,1,7,1,0.0,1.5
4,161576974,21,1,7,1,1.5,1.5
4,161576974,10,1,3,1,1.5,1.0
4,161576974,15,1,6,2,1.0,3.5
4,161576974,3,1,1,1,6.0,1.0
4,161576974,22,2,1,2,0.0,1.5
4,161576974,18,1,7,1,3.0,3.5
4,161576974,5,1,3,1,2.5,1.0
5,1097657231,3,1,1,1,0.0,1.0
5,1097657231,15,1,3,1,0.0,3.5
5,1097657231,8,1,4,1,0.0,1.0
5,1097657231,9,1,3,1,3.5,1.5
5,1097657231,20,1,4,1,1.0,1.5
5,1097657231,7,1,1,1,1.0,1.0
5,1097657231,21,1,5,1,0.0,1.5
5,1097657231,19,1,2,1,0.0,1.0
5,1097657231,10,1,3,1,5.0,1.0
5,1097657231,1,1,1,1,2.0,1.5
5,1097657231,16,1,4,1,2.5,1.0
5,1097657231,6,1,4,1,3.5,3.5
5,1097657231,5,1,3,1,6.0,1.0
5,1097657231,13,1,5,1,1.5,1.0
5,1097657231,2,1,5,1,2.5,3.5
5,1097657231,4,1,6,2,0.0,3.5
5,1097657231,17,1,6,2,3.5,1.0
5,1097657231,11,1,7,1,0.0,1.5
5,1097657231,22,1,1,1,3.5,1.5
5,1097657231,18,1,7,1,1.5,3.5
6,2084654369,16,1,4,1,0.0,1.0
6,2084654369,3,1,1,1,0.0,1.0
6,2084654369,22,1,1,1,1.0,1.5
6,2084654369,17,1,4,1,1.0,1.0
6,2084654369,20,1,4,1,2.0,1.5
6,2084654369,13,1,5,1,0.0,1.0
6,2084654369,1,1,1,1,2.5,1.5
6,2084654369,10,1,3,1,0.0,1.0
6,2084654369,7,1,1,1,4.0,1.0
6,2084654369,19,1,2,1,0.0,1.0
6,2084654369,21,1,5,1,1.0,1.5
6,2084654369,12,2,1,2,0.0,3.5
6,2084654369,9,1,3,1,1.0,1.5
6,2084654369,6,1,4,1,3.5,3.5
6,2084654369,2,1,5,1,2.5,3.5
6,2084654369,5,1,3,1,2.5,1.0
6,2084654369,8,1,6,2,0.0,1.0
6,2084654369,11,1,7,1,0.0,1.5
