Instance,Algorithm,HV mean,HV std,IGD+ mean,IGD+ std,Spread mean,Spread std,Runtime (s)
Small,NSGA-II,112054.80600416666,282.9208066159854,0.20123713979791036,0.283683908203444,280.71635,23.56208502636137,6.250747124354045
Small,MOEA/D,103342.678555,1794.8960676440545,2.699258157802554,0.510528446738146,43.53321666666667,7.400345005568104,13.783777372042339
Small,PLS,109601.47064,3495.7502367183033,0.9663663634974657,1.025966673575121,262.40232,27.210022868020665,4.623068881034851
Small,Graph-PMX NSGA-II,112059.889555,209.2399698889042,0.08964567416139836,0.1660386265687259,283.0448533333334,17.62125275969888,7.6427496115366615
Medium,NSGA-II,80413445.72404942,3668997.882546441,147.864214376097,38.503469296910396,2575.182474659443,291.4919563371351,34.79916810194651
Medium,MOEA/D,57962791.83421486,9361451.852079881,48.20737706092387,23.994945294613526,164.7503897907204,100.0074204077647,47.64407459894816
Medium,PLS,60622304.89978835,4763146.808919002,383.80956172307526,84.73050495977907,1562.5090787189188,226.40955066986933,24.595326312383015
Medium,Graph-PMX NSGA-II,83650076.46495132,2994379.4757875027,128.34062983593927,28.33371799104237,2728.3468291807812,297.8615995103701,37.46852598985036
Large,NSGA-II,458336413.7790977,25561276.223795302,505.6915144481685,102.91153541541749,6511.460179777086,631.3326646527622,87.86072526772817
Large,MOEA/D,204126441.26076606,49444231.83682054,121.11445576147158,63.61378541238444,429.42395417919215,123.05545742212766,108.58227604230245
Large,PLS,189232437.30890617,34657013.6790209,2749.8419203384324,405.8368377613627,2937.5706040991627,743.4819603163019,62.70056155522664
Large,Graph-PMX NSGA-II,478148814.1286705,19183166.392480183,452.9277598869328,120.13667384498561,6669.7751079636155,709.7472812552287,218.51527434190115
Hidden,NSGA-II,122958299.9094349,6226968.889198213,177.73627509164814,50.9779381961666,2649.82053388137,445.24728419509216,56.44768898487091
Hidden,MOEA/D,36825216.21890898,14859301.559571974,78.63658241925921,61.56249897964819,231.51934465830496,76.177138117266,75.56678182284037
Hidden,PLS,56597013.75288324,11790095.702389661,1308.2548067746436,286.72433554396224,1621.6450437682206,492.1264388381802,39.581600268681846
Hidden,Graph-PMX NSGA-II,126115466.54348342,6410970.225144009,137.38329895686022,35.867031561361266,3224.3334307847904,488.64251277991167,63.947404487927756
