Instance,Algorithm,hv_mean,hv_median,hv_std,hv_iqr,igd_plus_mean,igd_plus_median,igd_plus_std,igd_plus_iqr,spread_mean,spread_median,spread_std,spread_iqr
Small,NSGA-II,112054.80600416666,112104.69053749999,282.92080661598135,288.4581562500098,0.2012371397979104,0.02657566852367655,0.2836839082034441,0.3764812465181078,280.71635,281.5191,23.56208502636137,23.267650000000003
Small,MOEA/D,103342.67855500002,103236.288425,1794.896067644054,1189.7970062499953,2.699258157802554,2.444764217984627,0.510528446738146,0.036113052323421435,43.533216666666675,45.61735,7.400345005568104,9.089875
Small,PLS,109601.47063999998,110936.9660625,3495.7502367183015,2680.8506562500115,0.9663663634974657,1.087507704734904,1.025966673575121,1.3990837974753925,262.40232,264.50199999999995,27.210022868020648,21.125699999999995
Small,Graph-PMX NSGA-II,112059.88955499999,112136.66326249999,209.23996988890443,312.24063749999914,0.08964567416139833,0.013761114206128095,0.1660386265687259,0.03539511838440117,283.0448533333334,284.51935,17.62125275969888,16.0009
Medium,NSGA-II,80413445.7240494,81054017.1504811,3668997.8825464416,4452760.946951747,147.864214376097,150.05952642414076,38.503469296910396,55.497236417666585,2575.182474659443,2545.9035582058464,291.4919563371351,326.6597964821408
Medium,MOEA/D,57962791.83421487,56444890.8088785,9361451.85207988,11088115.844692566,48.20737706092388,45.545317027840596,23.994945294613522,25.01322914108913,164.7503897907204,133.50828607954426,100.0074204077647,174.3623479389913
Medium,PLS,60622304.89978835,59368160.15947218,4763146.808919001,6966115.293747902,383.8095617230753,390.4428902375802,84.73050495977908,131.75707196176535,1562.5090787189185,1552.990565118946,226.40955066986933,193.71572222817758
Medium,Graph-PMX NSGA-II,83650076.4649513,83828725.3343226,2994379.4757875022,4328710.299950764,128.34062983593927,132.13075901931157,28.333717991042366,37.03231846128364,2728.3468291807803,2776.3814551197593,297.86159951037,415.4378318568106
Large,NSGA-II,458336413.7790977,453764098.0448638,25561276.22379531,34935955.44841522,505.6915144481684,513.6521844575404,102.91153541541749,168.75795242869998,6511.460179777086,6428.409155046336,631.3326646527621,755.6535540231353
Large,MOEA/D,204126441.2607661,206643392.10569376,49444231.83682054,66273206.78075573,121.11445576147158,111.87004794973865,63.61378541238444,57.81117363374085,429.42395417919215,424.99323635696214,123.05545742212769,144.35687818919666
Large,PLS,189232437.30890617,191487422.27165878,34657013.6790209,57750672.46537873,2749.841920338432,2688.9226729601824,405.83683776136274,568.7864380612259,2937.570604099162,2735.6600104427253,743.481960316302,954.1555942730415
Large,Graph-PMX NSGA-II,478148814.12867063,482628851.6176225,19183166.392480187,30109788.77619487,452.9277598869328,436.70525456953067,120.1366738449856,125.31263275196477,6669.775107963616,6661.500998890473,709.7472812552286,1113.7332949168613
Hidden,NSGA-II,122958299.90943488,123659474.27297017,6226968.889198214,7550698.946460038,177.7362750916481,179.1554726091408,50.97793819616658,70.78075839226426,2649.82053388137,2593.356766777221,445.24728419509216,384.0016738570753
Hidden,MOEA/D,36825216.21890897,33553940.85043349,14859301.559571974,11513044.149525657,78.63658241925923,55.12467302710884,61.562498979648176,60.93021346736508,231.5193446583049,220.3049151513311,76.177138117266,89.55721546449502
Hidden,PLS,56597013.75288324,54867349.169514045,11790095.702389661,17994458.237398945,1308.2548067746434,1297.126998903656,286.7243355439622,350.1057702182645,1621.6450437682206,1553.2290582417754,492.12643883818015,777.9199265968048
Hidden,Graph-PMX NSGA-II,126115466.5434834,125803222.64766675,6410970.225144009,6757374.47798726,137.38329895686027,127.52826069210441,35.867031561361266,45.79228188108816,3224.3334307847904,3199.6314270415683,488.6425127799117,660.3795522672831
