Instance,Metric,NSGA-II mean,Graph-PMX mean,Change %,Holm p,Significant,Effect size,Effect magnitude
Small,hv,112054.80600416669,112059.88955500002,0.004536664704177604,0.9676735773682594,False,0.010752688172043012,negligible
Small,igd_plus,0.20123713979791036,0.08964567416139836,-55.452718990429005,0.140283040702343,False,0.3118279569892473,medium
Small,spread,280.7163499999999,283.0448533333334,0.8294861818107349,0.7921590935438871,False,0.05806451612903226,negligible
Medium,hv,80413445.72404943,83650076.46495134,4.0249870052937124,0.004734989255666733,True,0.6172043010752688,large
Medium,igd_plus,147.86421437609704,128.3406298359393,-13.203725203245542,0.08793856762349606,False,0.35913978494623655,medium
Medium,spread,2575.1824746594425,2728.3468291807812,5.947708794561989,0.036434996873140335,True,0.43655913978494626,medium
Large,hv,458336413.77909774,478148814.12867063,4.322676478225835,0.0037280134856700897,True,0.6301075268817204,large
Large,igd_plus,505.6915144481685,452.92775988693273,-10.433980609465786,0.07672121562063694,False,0.3720430107526882,medium
Large,spread,6511.4601797770865,6669.7751079636155,2.4313275949719273,0.3817984350025654,False,0.1870967741935484,small
Hidden,hv,122958299.90943488,126115466.54348342,2.567672647046968,0.10483990423381329,False,0.3419354838709677,medium
Hidden,igd_plus,177.73627509164817,137.38329895686022,-22.703849348693893,0.0008718203753232956,True,0.6688172043010753,large
Hidden,spread,2649.82053388137,3224.3334307847904,21.681200275925583,0.00013739429414272308,True,0.7505376344086021,large
